x0	x1	y0	y1
-1.183594	-1.179688	-1.765625	-1.761719
-1.187500	-1.183594	-1.765625	-1.761719
-1.160156	-1.156250	-1.761719	-1.757812
-1.164062	-1.160156	-1.761719	-1.757812
-1.171875	-1.167969	-1.765625	-1.761719
-1.167969	-1.164062	-1.761719	-1.757812
-1.171875	-1.167969	-1.761719	-1.757812
-1.160156	-1.156250	-1.757812	-1.753906
-1.164062	-1.160156	-1.757812	-1.753906
-1.187500	-1.183594	-1.769531	-1.765625
-1.148438	-1.144531	-1.757812	-1.753906
-1.148438	-1.144531	-1.753906	-1.750000
-1.144531	-1.140625	-1.753906	-1.750000
-1.144531	-1.140625	-1.757812	-1.753906
-1.156250	-1.152344	-1.757812	-1.753906
-1.152344	-1.148438	-1.757812	-1.753906
-1.152344	-1.148438	-1.753906	-1.750000
-1.140625	-1.136719	-1.753906	-1.750000
-1.136719	-1.132812	-1.753906	-1.750000
-1.132812	-1.128906	-1.753906	-1.750000
-0.109375	-0.105469	-1.000000	-0.996094
-0.105469	-0.101562	-1.000000	-0.996094
-0.105469	-0.101562	-0.996094	-0.992188
-0.101562	-0.097656	-0.996094	-0.992188
-0.097656	-0.093750	-0.996094	-0.992188
-0.097656	-0.093750	-0.992188	-0.988281
-0.113281	-0.109375	-1.000000	-0.996094
-0.117188	-0.113281	-1.000000	-0.996094
-0.070312	-0.066406	-0.980469	-0.976562
-0.066406	-0.062500	-0.980469	-0.976562
-0.066406	-0.062500	-0.976562	-0.972656
-0.078125	-0.074219	-0.984375	-0.980469
-0.074219	-0.070312	-0.984375	-0.980469
-0.074219	-0.070312	-0.980469	-0.976562
-0.085938	-0.082031	-0.988281	-0.984375
-0.082031	-0.078125	-0.988281	-0.984375
-0.093750	-0.089844	-0.992188	-0.988281
-0.089844	-0.085938	-0.988281	-0.984375
-0.089844	-0.085938	-0.992188	-0.988281
-0.082031	-0.078125	-0.984375	-0.980469
-0.042969	-0.039062	-0.968750	-0.964844
-0.042969	-0.039062	-0.964844	-0.960938
-0.046875	-0.042969	-0.968750	-0.964844
-0.035156	-0.031250	-0.960938	-0.957031
-0.039062	-0.035156	-0.964844	-0.960938
-0.035156	-0.031250	-0.964844	-0.960938
-0.050781	-0.046875	-0.968750	-0.964844
-0.027344	-0.023438	-0.957031	-0.953125
-0.031250	-0.027344	-0.960938	-0.957031
-0.027344	-0.023438	-0.960938	-0.957031
-0.023438	-0.019531	-0.957031	-0.953125
-0.019531	-0.015625	-0.957031	-0.953125
